IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
HG00096	-0.01967494228753769	-0.007770287887233315	-0.04206098549423215	-0.06776027503779336	0.061769134986429663	0.04684057130685981	0.035098615252562027	-0.022871970288210516	0.07260717328424904	-0.014599803986231535	0.031165147472870455	-0.021924437339642805	0.025034353421928814	-0.02723896676433754	0.08544444752658492	-0.018597867387258965	-0.12217069028883205	-0.024631715056673567	0.0019584174131141927	-0.030736933992718072	0.042878765622751475	-0.07623765973408889	0.0008246894985517774	-0.03927662993426537	0.016964908230215653	-0.039430181180825155	0.1258810496947015	-0.002003495476181761	-0.03859469449416089	0.0512954468175122
HG00097	0.019591959645580692	-0.04924753259385124	-0.03214715090578696	-0.05325190386069989	-0.04209915742096004	-0.04043291924642958	-0.01715628036278055	-0.05170356184528249	0.022149520658515054	0.02539445479836551	0.04452162514704802	0.010455309134208588	0.02777405641380226	-0.027892733198930986	0.0744692737764533	0.0074237844337072655	-0.05023297127039164	-0.04919560638304861	0.057695664105665886	0.02320424700302887	0.06349721937442902	0.009494028526455818	-0.03435279945548093	-0.0057785560564954305	0.0051515464052275615	0.031986643489132424	0.05602593350814469	-0.041660367879691435	0.06747108721077953	0.02264557436405074
HG00099	0.045015827912725015	0.0016258934039694306	0.04291367401706436	0.034556058858800115	0.08673313986847721	0.06686107319430992	0.011125126748876862	0.006238065697700301	0.04182125442659401	-0.02799865006272892	0.16888031393590527	0.004978900963320071	0.11075060165721137	-0.05309253947665535	-0.0357443797958132	0.012798703705013043	0.13768516785263019	0.04624412970026587	-0.10953860183802695	0.0013926011263785953	0.13187019142666284	0.18754452983712627	0.3409730768971941	-0.24460154835807874	0.0741382678305291	-0.0862210684582409	0.05253383368305076	-0.05027991619540802	-0.08888958250892286	-0.043486243429274374
HG00100	0.01783426386238174	0.013025005330899508	-0.011565518763769767	0.022447820989925482	-0.0130337481824159	-0.004588779963364334	-0.003725387202017788	-0.09344395465677843	0.02379407962751756	-0.02504143546358987	0.05582937604518477	0.027261753725687808	0.03538525431308576	-0.050881680671509194	-0.005908429260560649	0.0423902081679824	-0.04680851538613118	0.08249527544719754	0.04271315625044983	0.015503502803805982	0.012440488599642668	-0.07561729233421423	0.017550035983132112	0.026187800499623354	-8.248474269511447e-06	-0.035890645852024415	0.014638541051459869	-0.010439182301553848	0.011057570282170588	-0.02523059044498821
HG00101	0.013518608540150703	-0.009166560662483447	0.033550266501257475	-0.09421558204891209	-0.06299507676624647	0.11107739020902943	0.054292387731561156	-0.05760298849599415	0.041505162293042415	-0.06919453620917686	-0.01053865966858971	-0.001734952731608369	0.0139014026261946	-0.041881593350022575	0.05799119715483654	0.019743030615320775	-0.03822820595497303	0.0006440059973974802	0.019642051180021856	0.03420835237971926	0.0480792011416475	-0.007881094256897925	-0.01138469920895346	0.006850893964496681	-0.0007408037110200501	-0.03852297973086573	-0.028246516064144134	0.004762227095409081	0.05557916026738019	0.011828081061252944
HG00102	0.15432422231782003	0.09801217376169297	0.017449053240837786	0.010453050650064188	-0.03761911783318106	0.06829500364086838	0.011264633227864834	0.018805601232542754	0.09513342813542261	-0.03679517466239423	0.02408575551615929	0.017764326815179164	0.019598207906915098	-0.056994906816536316	0.09566123655173552	0.017084446695133627	-0.05271018188561513	-0.0688146436859007	0.03210118191183616	0.024533320060762434	-0.08317171862082326	0.018277430954900017	0.015592500911676264	0.02820374762628436	-0.101650390167867	0.07565216533794913	-0.030407108677844907	-0.02746943864107298	-0.062057388248690074	-0.10377381809136405
HG00103	-0.015696695898288482	0.11950291554797986	-0.08409141639088483	-0.05003428847675273	0.01251931796125011	0.05566687857120288	-0.020342308204253035	0.030047290269448107	0.002023503211461941	0.03840056819921042	0.026075439472116397	-0.017358690881445853	-0.08564880272166135	-0.02868327268323472	-0.022938984432082074	-0.012228624657664312	0.03609004148029138	-0.025050793986446964	-0.04599473594537794	0.07951101954233099	0.09215755467438441	-0.022060277430612535	0.01557633876493257	0.038008785764574074	-0.011207220509251357	0.022642145953154807	-0.025145125709794797	0.01125437967666245	0.049147133900316	-0.08295040293459499
HG00104	0.014778661458998813	0.011634162480381354	-0.03684510052298537	-0.0458883766877198	-0.08524246321945717	0.04679709270733745	-0.004764109512027048	0.02704732706735783	0.03219570936693228	-0.04357115841009378	0.055952136337514585	-0.10037102980141416	-0.08635249819113425	-0.0456733475949945	-0.07828251477706637	0.019895352796204097	-0.004304537912059439	-0.0660488978268872	0.02880115158493062	0.05504324877759792	0.006121367349223514	0.04155755085993028	0.005080993610314916	-0.03713034054096426	0.009592464934373622	-0.13142932551659914	-0.047688621245424695	0.014755067147637201	0.05003823446280846	-0.027837992035261532
HG00106	-0.007570950151945446	0.06577980944051333	-0.013017765126129588	-0.05530001704225259	0.11084378061875384	0.00917041249155004	-0.009859113633786998	-0.025961774156856077	0.011775324065808307	0.09880069204205744	0.04959283685708038	0.020518284984733404	0.018894427748643958	-0.017788528018843508	-0.033103806498009286	0.050985514683866764	-0.028701971268297544	0.01681356136498157	-0.02325733821075034	-0.006816365908530917	0.013322159842407949	-0.059795414262156545	0.015099104185250827	-0.0028195309743921614	-0.0468396672274649	-0.047855249656530804	-0.005249443735700257	0.0011572630403005482	0.010294634250359376	0.03837055224541103
HG00108	-0.03077741764038337	-0.003131217069718491	-0.00031107530544645536	-0.03686990737833305	-0.06929046374917286	0.014229148691189741	-0.0481534784160052	-0.039499837515492756	0.010555850130810174	0.03025342688236403	0.0396385253647874	-0.01630881226351752	0.006939998102111239	0.014768225203450808	-0.027450821786518087	0.09396508309876145	-0.04245725267388789	-0.07709466102646195	0.03275164106378347	0.015162428921538356	-0.016442368304125224	0.07117816035670359	-0.05357009457617041	-0.07227210475687773	-0.021285792200458092	0.005149426544181934	0.029222846009016812	-0.020416699962189557	0.053877035829534306	0.003939586291698299
HG00109	0.015143511506505461	0.07549876881289383	0.014485176467154727	0.051389849869822396	-0.0027972383949020274	0.028329959256297364	0.07822025845660369	0.00853574846679861	0.04599403619488725	-0.024638616685975112	0.058976488741921296	0.03493050043537244	0.01881046848569095	-0.02961873816184052	0.03971360784774766	0.013831844654104662	-0.07482164213363426	-0.01164256625615924	-0.011324125214545936	0.04326125105176193	-0.09465726202299743	0.05332793894416234	-0.04269628775427366	0.02899904151845016	-0.046408582282604756	-0.054824903200038425	0.08434205172759762	-0.0498572971703752	-0.09191879696379837	-0.02473261454324775
HG00110	0.0020147737919693205	0.013515002055227536	0.01484718509884798	0.0472891929819648	-0.002529658121135766	-0.032225417817206156	-0.06203199862677408	-0.04645319144195925	-0.036724118398254874	-0.040380959179406206	0.06854472572366554	-0.018527071138716406	-0.021944184936636635	-0.008574915587919535	0.03572457908807802	0.014748183125029513	-0.015355793020453368	-0.022791432545940585	0.016559002593278277	-0.02224417029938911	-0.01587127609327814	-0.007212214073408552	-0.01337775869069516	-0.01565814421868248	0.056785575361107135	-0.04103222115295601	0.053622333741484396	0.02133039882210148	-0.014574591563337395	-0.012466044988934964
HG00111	-0.07809308671194334	0.07746804744233259	0.03314343450962313	0.009352323070517594	0.03381516458505552	0.04274539762154783	0.06559173208428658	-0.06707835722562686	0.0006077081653795835	-0.03319120420262889	0.0167805634197441	0.026570575649672634	-0.024561373609461756	0.033082493014203934	-0.024326392421185367	0.010111632167860965	0.04944916008071227	-0.021305455558490005	0.03145804911065531	-0.004649280116162446	0.06725872972371877	-0.05133615369770428	0.003720585084501024	0.002083099390828208	0.0167239516046801	0.044664402611945805	0.051341017137672584	-0.024439986023692916	-0.0722759371024922	0.03247201196174794
HG00112	-0.053072861005013544	0.015599289932599297	-0.01617966820839219	-0.03936455463687168	0.009046563762918663	0.025031366461657954	-0.0026908198747602526	-0.0512939209940673	-0.07090732181540471	0.04237069559903517	-0.011307330915607372	0.018898533291693637	0.005553315931315028	-0.07281302651358683	0.005208870581243835	0.019912819046696957	-0.009583594536314162	-0.020358364570671937	-0.01891102142422745	-0.00526003591923864	-0.059553312769338354	-0.014318377331109022	-0.005539584574490445	-0.0014956944296289076	-0.0396332900879483	-0.031135246673992076	0.013268420898261357	0.04056900255510195	-0.07905933141379938	-0.019817927091373394
HG00114	-0.06891304984335257	-0.0032209521671658498	-0.01702591845510622	-0.03511945578966685	0.05271676292686073	0.00654920731131616	0.026717255289150865	-0.028540499588154567	-0.05889726547748482	0.005254996091039493	-0.015627193812580487	-0.00219620012845001	0.09089384525911848	-0.02893348952976674	-0.05750645002082733	0.036981335509386884	-0.01715236722299132	0.003021185673473377	-0.05407641963521764	-0.024336721943436314	0.002678394811662002	0.023404961434905586	-0.03557869629202581	-0.0029042110371421542	-0.06827686617488729	0.01007365144567443	-0.0862443666142026	0.032775988491868996	-0.05339186951939778	0.047076251952728076
HG00116	-0.03173177890823466	-0.024390365106886636	0.055156615018773315	0.10458125681810426	-0.036439635326042295	-0.024437986826900855	-0.06067930273421245	-0.06300869109029328	0.006385279394190395	-0.030968008929894892	0.08199160860849176	0.014355203626922663	-0.0050729712834806096	-0.0006036059728888876	0.044791664664666275	-0.06909243461508785	-0.039816113975478684	-0.002543902266576553	-0.02487620050147698	0.053257962425223654	-0.027069180090902256	0.040072608774617685	-0.016513708117872096	-0.011456866952086014	-0.016209404332281463	-0.04463333246924596	0.007836051705253116	0.006466753711332828	0.010637877253105082	-0.06191279857325692
