IID	geno_coef_0	geno_coef_1
HG00096	0.027252996080502315	0.02719667489528039
HG00097	0.032490502435634235	0.015125335592328095
HG00099	0.03206272152541366	0.013886413824494641
HG00100	0.026738748967243105	0.037190737848968806
HG00101	0.03053220268849496	0.016611544161460236
HG00102	0.03114536264545856	0.010631508663638104
HG00103	0.02811839587735188	0.018818575605001418
HG00104	0.03241171476911656	0.009059011359411735
HG00106	0.02843568862675101	0.026475586301062077
HG00108	0.027257310432273012	0.01885506742666562
HG00109	0.031388989778674846	0.022084945399692548
HG00110	0.030872024553704337	0.0139404944435188
HG00111	0.027339555934026163	0.0217744322040235
HG00112	0.028394253508335413	0.022697270526919534
HG00114	0.026781758082520354	0.030723085113075598
HG00116	0.027473278265252976	0.025852705215711036
HG00117	0.028024087371003436	0.022236942692242134
HG00118	0.0284511415727716	0.02439917838365872
HG00119	0.032204867121251986	0.03098484377210498
HG00120	0.026858616169682673	0.025379189678348096
HG00121	0.03198894794256778	0.0056294491213987686
HG00122	0.028375359846995234	0.022513172741319493
HG00123	0.026807744451590818	0.022490471818904973
HG00124	0.03174583712043821	0.0240048880235133
HG00125	0.026335004216909437	0.016653659414122023
HG00126	0.028731349117590153	0.024099437459052624
HG00127	0.02820160779180319	0.02736074452721907
HG00128	0.03271592593470306	0.013188046104768246
HG00129	0.03244854680685003	0.00440598120332196
HG00130	0.03193523719934432	0.023868787682124516
HG00131	0.02773925095204135	0.020597965191367133
HG00133	0.02879010624657154	0.03176535204577879
HG00134	0.031879319086861056	0.017924525635095775
HG00135	0.0336125157855293	0.013862215334318579
HG00136	0.027823099404119107	0.017088054347541574
HG00137	0.02880123111769959	0.031649074651461516
HG00138	0.028463107735746812	0.019960172074600737
HG00139	0.027906909795865957	0.02211425285912528
HG00141	0.030109305501800323	0.012211524947483642
HG00142	0.028681805444982715	0.025789775649438018
HG00143	0.029041548488715034	0.02598955826926735
HG00146	0.030173927314777103	0.021954736658822954
HG00148	0.028293233244984808	0.026703305426614372
HG00149	0.028849603228127966	0.018360976364140524
HG00150	0.02826973274833718	0.020217922916385675
HG00151	0.028729309001752776	0.010827010911555801
HG00152	0.02871876755577692	0.02722247678142153
HG00154	0.02924610216714655	0.018286217101965426
HG00155	0.029055733031255686	0.02206042235879087
HG00156	0.028659988758200704	0.022246046596951664
HG00158	0.02820541810468235	0.020328582103946054
HG00159	0.02836326383050292	0.026084816497045506
HG00160	0.028621811876047558	0.018727246399872926
HG00171	0.027268633531688815	-0.09531823530840172
HG00173	0.028647685008819826	-0.08999125870129505
HG00174	0.028370666343746676	-0.06276116650221202
HG00176	0.027330440615313156	-0.08603098284740962
HG00177	0.027750904150052966	-0.09429327091815026
HG00178	0.027750170015648237	-0.07250695327941391
HG00179	0.027644813460321827	-0.08667300702634573
HG00180	0.02721916930089647	-0.07740317948702004
HG00182	0.026664095570902713	-0.09030633745370356
HG00183	0.02712427619320243	-0.0843892326737579
HG00185	0.027448382232215168	-0.10125616783677677
HG00186	0.02675523262117837	-0.08619589573061258
HG00187	0.025701367483422007	-0.09694760239816548
HG00188	0.02804723750990239	-0.07623552189383692
HG00189	0.027178241341431805	-0.07486401293697811
HG00231	0.02856171588881457	0.024699888968428386
HG00232	0.029021937398009352	0.028706112048212135
HG00233	0.028074010020821473	0.02701535509984635
HG00234	0.03309684562020343	0.014692514985622952
HG00235	0.0324722690662794	0.015757957849618733
HG00236	0.02851564138343296	0.025415000798547714
HG00238	0.03170249020127377	0.025956457296589838
HG00239	0.02794059503507834	0.02433056992863366
HG00240	0.03212603253279708	0.022377127165971834
HG00242	0.02761043925257149	0.025002749010217356
HG00243	0.028290605047691236	0.023628949205378065
HG00244	0.027657283633336156	0.029292094779223676
HG00245	0.027316681764099095	0.022455380710271335
HG00246	0.0282694371468717	0.017074200461804162
HG00247	0.028378366611553105	0.02335780165200696
HG00249	0.029311550721371503	0.020122481911557234
HG00250	0.028544862115519702	0.02525335201410063
HG00251	0.028685286307401702	0.031534161573319494
HG00252	0.027984995443300006	0.022314075947286044
HG00253	0.02862364710136363	0.025323140682318487
HG00255	0.031707425137259215	0.014968867041955597
HG00256	0.028538329288028016	0.020698971176257436
HG00257	0.02796673456965562	0.022527345815934772
HG00258	0.02808603345850772	0.019438211005388006
HG00259	0.028387667475979164	0.02741205081213205
HG00260	0.029479100477775196	0.013072465994021282
HG00261	0.02761096591564658	0.02985069184530792
HG00262	0.028974754376235336	0.023470880538870822
HG00263	0.029618155884748892	0.027444396512095917
HG00264	0.027823048087995874	0.024872269545455277
HG00265	0.02842091629414265	0.028907583394673225
HG00266	0.027949687985229732	-0.0852554112717406
HG00267	0.027980289650131062	-0.08894726413100841
HG00268	0.028100724528926452	-0.06937040648084467
HG00269	0.02763692325196994	-0.10271693529392423
HG00271	0.026976084363025742	-0.1144670082143867
HG00272	0.02600781381075173	-0.10041035010858741
HG00273	0.02799666699650047	-0.07048647538047378
HG00274	0.028654224259516206	-0.07547020876474615
HG00275	0.028216039106537256	-0.058512466506509146
HG00276	0.027066845074278117	-0.09341997064773681
HG00277	0.028757785671793757	-0.046820386011697745
HG00278	0.027217891138023892	-0.0920736702788447
HG00280	0.02747320993566059	-0.08202437685268082
