sample_name	lab	sex	pop	imputed	sample_string
HG00096	1	1.0	GBR	0	1.M_111124_6
HG00097	7	2.0	GBR	0	7.M_120219_2
HG00099	5	2.0	GBR	0	5.M_120131_3
HG00100	2	2.0	GBR	0	2.M_111215_8
HG00101	1	1.0	GBR	0	1.M_111124_4
HG00102	3	2.0	GBR	0	3.M_120202_8
HG00103	4	1.0	GBR	0	4.M_120208_3
HG00104	1	2.0	GBR	0	1.M_111124_5
HG00105	3	0	GBR	1	3.M_120223_6
HG00106	4	2.0	GBR	0	4.M_120208_5
HG00108	7	1.0	GBR	0	7.M_120219_2
HG00109	3	1.0	GBR	0	3.M_120202_5
HG00110	2	2.0	GBR	0	2.M_120131_2
HG00111	2	2.0	GBR	0	2.M_111215_4
HG00112	6	1.0	GBR	0	6.M_120119_2
HG00114	6	1.0	GBR	0	6.M_120217_1
HG00115	6	0	GBR	1	6.M_120119_1
HG00116	2	1.0	GBR	0	2.M_120131_1
HG00117	1	1.0	GBR	0	1.M_111124_2
HG00118	4	2.0	GBR	0	4.M_120208_5
HG00119	2	1.0	GBR	0	2.M_111216_6
HG00120	3	2.0	GBR	0	3.M_120202_2
HG00121	1	2.0	GBR	0	1.M_111124_7
HG00122	6	2.0	GBR	0	6.M_120119_1
HG00123	4	2.0	GBR	0	4.M_120208_7
HG00124	3	2.0	GBR	0	3.M_120223_7
HG00125	1	2.0	GBR	0	1.M_111124_6
HG00126	1	1.0	GBR	0	1.M_111124_8
HG00127	1	2.0	GBR	0	1.M_111124_2
HG00128	1	2.0	GBR	0	1.M_111124_6
HG00129	4	1.0	GBR	0	4.M_120208_8
HG00130	5	2.0	GBR	0	5.M_120131_7
HG00131	2	1.0	GBR	0	2.M_111215_5
HG00132	2	0	GBR	1	2.M_111215_4
HG00133	2	2.0	GBR	0	2.M_111216_2
HG00134	6	2.0	GBR	0	6.M_120119_6
HG00135	3	2.0	GBR	0	3.M_120202_8
HG00136	4	1.0	GBR	0	4.M_120208_7
HG00137	6	2.0	GBR	0	6.M_120217_1
HG00138	5	1.0	GBR	0	5.M_120131_5
HG00139	7	1.0	GBR	0	7.M_120219_1
HG00141	5	1.0	GBR	0	5.M_120131_3
HG00142	4	1.0	GBR	0	4.M_120208_6
HG00143	7	1.0	GBR	0	7.M_120219_2
HG00145	6	0	GBR	1	6.M_120119_1
HG00146	2	2.0	GBR	0	2.M_111216_1
HG00148	3	1.0	GBR	0	3.M_120202_6
HG00149	1	1.0	GBR	0	1.M_111124_6
HG00150	4	2.0	GBR	0	4.M_120208_7
HG00151	3	1.0	GBR	0	3.M_120202_4
HG00152	7	1.0	GBR	0	7.M_120219_3
HG00154	5	2.0	GBR	0	5.M_120131_7
HG00155	1	1.0	GBR	0	1.M_111124_2
HG00156	4	1.0	GBR	0	4.M_120208_1
HG00157	5	0	GBR	1	5.M_120131_3
HG00158	1	2.0	GBR	0	1.M_111124_8
HG00159	7	1.0	GBR	0	7.M_120219_6
HG00160	3	1.0	GBR	0	3.M_120202_1
HG00171	3	2.0	FIN	0	3.M_120202_2
HG00173	3	2.0	FIN	0	3.M_120202_1
HG00174	4	2.0	FIN	0	4.M_120208_3
HG00176	4	2.0	FIN	0	4.M_120208_2
HG00177	4	2.0	FIN	0	4.M_120208_8
HG00178	4	2.0	FIN	0	4.M_120208_8
HG00179	1	2.0	FIN	0	1.M_111124_8
HG00180	1	2.0	FIN	0	1.M_111124_8
HG00181	4	0	FIN	1	4.M_120208_4
HG00182	1	1.0	FIN	0	1.M_111124_4
HG00183	5	1.0	FIN	0	5.M_120131_5
HG00185	1	1.0	FIN	0	1.M_111124_5
HG00186	3	1.0	FIN	0	3.M_120202_5
HG00187	1	1.0	FIN	0	1.M_120209_2
HG00188	1	1.0	FIN	0	1.M_111124_3
HG00189	1	1.0	FIN	0	1.M_111124_5
HG00231	2	2.0	GBR	0	2.M_111216_2
HG00232	7	2.0	GBR	0	7.M_120219_3
HG00233	2	2.0	GBR	0	2.M_111215_8
